"animeName","score","ranked","popularity","membre"
"Evangelion: 2.0 You Can (Not) Advance",8.34,189,388,416321
"K-On! Movie",8.34,190,626,270827
"Katanagatari",8.34,191,328,486747
"Kemono no Souja Erin",8.34,192,1948,73796
"Made in Abyss Movie 2: Hourou Suru Tasogare",8.34,193,1889,78407
"Mobile Suit Gundam: The Origin",8.34,194,2269,58024
"Natsume Yuujinchou: Itsuka Yuki no Hi ni",8.34,195,2051,68408
"Ookami to Koushinryou II",8.34,196,374,425835
"Romeo no Aoi Sora",8.34,197,2726,41082
"Sakamichi no Apollon",8.34,198,519,319229
"Tokyo Revengers",8.34,199,218,637305
"Versailles no Bara",8.34,200,1910,76680
"Natsume Yuujinchou Go Specials",8.33,201,2917,36543
"Neon Genesis Evangelion",8.33,202,50,1384120
"Boku dake ga Inai Machi",8.33,203,29,1650433
"Fate/stay night: Unlimited Blade Works 2nd Season",8.33,204,174,702332
"Hotarubi no Mori e",8.33,205,200,665436
"Doukyuusei (Movie)",8.32,206,869,201147
"Hunter x Hunter: Original Video Animation",8.32,207,1463,110110
"Luo Xiao Hei Zhan Ji (Movie)",8.32,208,4871,12138
"Major: World Series",8.32,209,3143,31951
"Natsume Yuujinchou",8.32,210,353,452010
"NHK ni Youkoso!",8.32,211,236,603170
"Shelter",8.32,212,575,291901
"Shinsekai yori",8.32,213,195,672747
"Shirobako",8.32,214,422,386218
"Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai",8.31,215,62,1257203
"Steins;Gate: Oukoubakko no Poriomania",8.31,216,434,374574
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",8.31,217,761,230020
"Diamond no Ace: Second Season",8.31,218,1433,113083
"Dr. Stone",8.31,219,65,1256613
"Fate/Zero",8.31,220,66,1248957
"Kawaki wo Ameku",8.31,221,3843,21381
"Kino no Tabi: The Beautiful World",8.31,222,688,251579
"Kuroko no Basket 3rd Season",8.31,223,238,599144
"Bakemono no Ko",8.3,224,476,347156
"Beck",8.3,225,597,284549
"Detective Conan Movie 06: The Phantom of Baker Street",8.3,226,2135,64874
"Great Pretender",8.3,227,364,438568
"Hibike! Euphonium 2",8.3,228,946,185494
"Nodame Cantabile",8.3,229,607,279017
"Rurouni Kenshin: Meiji Kenkaku Romantan",8.3,230,378,422316
"Tsubasa: Tokyo Revelations",8.3,231,1778,85943
"Yoru Ni Kakeru",8.3,232,7183,4784
"Planetes",8.29,233,819,212520
"Redline",8.29,234,562,298093
"Stranger: Mukou Hadan",8.29,235,596,284652
"Tokyo Godfathers",8.29,236,776,224571
"Douluo Dalu: Xingdou Xian Ji Pian",8.29,237,7967,3506
"Initial D First Stage",8.29,238,622,272869
"Kono Subarashii Sekai ni Shukufuku wo! 2",8.29,239,77,1185844
"Koukaku Kidoutai",8.29,240,310,514284
"Ashita no Joe",8.28,241,2082,67124
"Gin no Saji 2nd Season",8.28,242,1313,128688
"Gintama: Shinyaku Benizakura-hen",8.28,243,2958,35727
"Gyakkyou Burai Kaiji: Ultimate Survivor",8.28,244,610,277586
"Hajime no Ippo: Champion Road",8.28,245,1493,107181
"Tenkuu no Shiro Laputa",8.28,246,426,383931
"Quanzhi Gaoshou Specials",8.27,247,1745,88513
"Stand By Me Doraemon 2",8.27,248,5316,9821
"Tonari no Totoro",8.27,249,129,840946
"Yuru Camp<U+25B3>",8.27,250,436,372706
"Douluo Dalu: Hanhai Qian Kun",8.27,251,8274,3123
"Hunter x Hunter: Greed Island Final",8.27,252,1358,122606
"Danshi Koukousei no Nichijou",8.26,253,194,674825
"Douluo Dalu: Haishen Zhi Guang",8.26,254,8207,3194
"Re:Zero kara Hajimeru Isekai Seikatsu",8.26,255,21,1755285
"Sennen Joyuu",8.26,256,1205,143294
"Space<U+2606>Dandy 2nd Season",8.26,257,1212,142459
"Wu Liuqi Zhi Zui Qiang Fa Xing Shi",8.26,258,3580,25139
"Youjo Senki Movie",8.26,259,878,199379
"No Game No Life: Zero",8.25,260,175,701474
"Nodame Cantabile: Finale",8.25,261,1401,117099
"Non Non Biyori Movie: Vacation",8.25,262,2256,58651
"Ookami to Koushinryou",8.25,263,177,698189
"Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero",8.25,264,840,206901
"Gyakkyou Burai Kaiji: Hakairoku-hen",8.25,265,1116,155836
"Initial D Final Stage",8.25,266,1561,102368
"Kuroko no Basket 2nd Season",8.25,267,187,683974
"Kuroshitsuji Movie: Book of the Atlantic",8.25,268,1118,155276
"Magi: The Kingdom of Magic",8.25,269,165,713629
"Major S1",8.25,270,1765,87326
"Major S3",8.25,271,2224,60609
"Detective Conan: Episode One - The Great Detective Turned Small",8.24,272,3563,24873
"Diamond no Ace: Act II",8.24,273,2099,66277
"Hachimitsu to Clover II",8.24,274,1656,95712
"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku",8.24,275,126,847979
"Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season",8.23,276,1450,110756
"SKET Dance",8.23,277,880,199178
"xxxHOLiC Kei",8.23,278,1345,123740
"Hajime no Ippo: Mashiba vs. Kimura",8.23,279,1782,85544
"Kono Sekai no Katasumi ni",8.23,280,1187,145882
"Mahou Shoujo Madoka<U+2605>Magica Movie 1: Hajimari no Monogatari",8.23,281,994,173053
"Boku no Hero Academia 2nd Season",8.22,282,15,1989914
"Detective Conan Movie 13: The Raven Chaser",8.22,283,2472,49857
"Dororo",8.22,284,119,877659
"Douluo Dalu: Qian Hua Xi Jin",8.22,285,6695,5534
"Fate/stay night Movie: Heaven's Feel - I. Presage Flower",8.22,286,485,339669
"Fruits Basket 1st Season",8.22,287,265,554864
"Ginga Eiyuu Densetsu: Die Neue These - Seiran 3",8.22,288,4196,17448
"Golden Kamuy 2nd Season",8.22,289,1220,140797
"Majo no Takkyuubin",8.22,290,359,443385
"Major S2",8.22,291,2178,62947
"Major S4",8.22,292,2287,57327
"Mimi wo Sumaseba",8.22,293,647,266490
"Nomad: Megalo Box 2",8.22,294,1206,142894
"One Piece Movie 14: Stampede",8.22,295,1489,107481
"Shokugeki no Souma",8.22,296,53,1359471
"Trigun",8.22,297,227,615321
"xxxHOLiC Rou",8.22,298,2212,61043
"Yuukoku no Moriarty 2nd Season",8.22,299,1183,146191
"Naruto: Shippuuden",8.21,300,16,1880934
"ReLIFE: Kanketsu-hen",8.21,301,580,290756
